name,name_clean,store,price,price_per_100,query,brand
Cauliflower Cheese Grills 4 Pack,Cauliflower Cheese Grills 4 Pack,aldi,1.79,0.45,cauliflower,VEGGIE MENU
British Mild Cheddar Cheese,British Mild Cheddar Cheese,aldi,2.49,0.623,mild cheddar,EMPORIUM
Mild Cheddar Slices 10 Pack,Mild Cheddar Slices 10 Pack,aldi,1.39,0.6950000000000001,mild cheddar,EVERYDAY ESSENTIALS
Mild Cheddar Cheese Sticks 6 Pack,Mild Cheddar Cheese Sticks 6 Pack,aldi,1.25,1.042,mild cheddar,EMPORIUM
British Mild White Cheddar Cheese,British Mild White Cheddar Cheese,aldi,4.99,0.554,mild cheddar,EVERYDAY ESSENTIALS
Mild Salsa Dip,Mild Salsa Dip,aldi,0.95,0.32,mild cheddar,SNACKRITE
Extra Mature Cheddar Cheese,Extra Mature Cheddar Cheese,aldi,2.99,0.8539999999999999,extra mature cheddar,CATHEDRAL CITY
British Extra Mature Cheddar Cheese,British Extra Mature Cheddar Cheese,aldi,2.49,0.623,extra mature cheddar,EMPORIUM
West Country Extra Mature Cheddar Cheese,West Country Extra Mature Cheddar Cheese,aldi,3.39,0.969,extra mature cheddar,SPECIALLY SELECTED
Caramelised Red Onion & Extra Mature Cheddar Flatbread,Caramelised Red Onion & Extra Mature Cheddar Flatbread,aldi,1.99,0.765,extra mature cheddar,SPECIALLY SELECTED
Grated Mature Cheddar,Grated Mature Cheddar,aldi,1.99,0.796,extra mature cheddar,EMPORIUM
Sour Cream Dip,Sour Cream Dip,aldi,0.95,0.34,sour cream,SNACKRITE
Sour Cream & Chive Dip,Sour Cream & Chive Dip,aldi,0.99,0.6599999999999999,sour cream,THE DELI
Sour Cream & Onion Stackz,Sour Cream & Onion Stackz,aldi,1.29,0.782,sour cream,SNACKRITE
Reduced Fat Sour Cream,Reduced Fat Sour Cream,aldi,0.99,0.5,sour cream,THE DELI
Fresh British Soured Cream,Fresh British Soured Cream,aldi,0.85,0.28,sour cream,COWBELLE
Blueberries,Blueberries,aldi,1.59,1.06,blueberries,NATURE'S PICK
Blueberries,Blueberries,aldi,2.55,0.85,blueberries,NATURE'S PICK
Wonky Blueberries,Wonky Blueberries,aldi,1.19,0.952,blueberries,EVERYDAY ESSENTIALS
Frozen Blueberries,Frozen Blueberries,aldi,1.99,0.498,blueberries,FOUR SEASONS
Premium Blueberries,Premium Blueberries,aldi,1.75,1.167,blueberries,SPECIALLY SELECTED
Cucumber,Cucumber,aldi,0.79,,cucumber,NATURE'S PICK
Cucumber,Cucumber,aldi,1.09,,cucumber,ORGANIC
Cucumber,Cucumber,aldi,0.89,,cucumber,NATURE'S PICK
Squishy Snacks Pear & Cucumber,Squishy Snacks Pear & Cucumber,aldi,1.99,0.5,cucumber,MAMIA
Regal Vine Tomatoes,Regal Vine Tomatoes,aldi,1.89,0.42,vine tomatoes,SPECIALLY SELECTED
Vine Ripened Tomatoes,Vine Ripened Tomatoes,aldi,1.29,0.258,vine tomatoes,NATURE'S PICK
Chopped Tomatoes in Tomato Juice,Chopped Tomatoes in Tomato Juice,aldi,0.43,0.11,vine tomatoes,EVERYDAY ESSENTIALS
